AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Running Room Canada Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.avantlink.com/programs/18513/running-room-canada--affiliate-program/,"Running Room is a proud Canadian family-owned, specialty running retailer of sporting goods, apparel, and footwear.","Shoes, Sports"
Dance Direct Affiliate Program,Physical Product,4% Per Sale,30 Days,https://ui.awin.com/merchant-profile/6427?pid=51861&awc=4032_1657638806_013be1d6f4d5df0ae2feaf7274c3482d&utm_source=getlasso,"Dance Direct is Europe’s largest shop, selling a collection of quality dancewear, costumes & accessories at the best possible prices.",Fashion
YesCustom Affiliate Program,Physical Product,Unknown,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=94146&utm_source=getlasso,"YesCustom customizes text or images on various custom products, like T-shirts, hoodies, underwear, shoes, socks, bags, and so on.","Fashion, Gift"
Balance Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/16134?pid=51861&awc=4032_1657640482_8b6bb2b9284d4f2685c3c8ca771d2118&utm_source=getlasso,"Balance is a Meal prep delivery service, that delivers freshly and nutritiously prepared ready-to-eat meals direct to your door.","Food, Health and Wellness, Nutrition"
CBD Essence Affiliate Program,Physical Product,Up to 40% Per Sale,180 Days,https://nutrahemp.postaffiliatepro.com/affiliates/,"CBD Essence provides the most consistent, best producing high-quality, pure, and 100% natural CBD oil made daily in small batches.","CBD, Health and Wellness, High-Paying, Supplements"
Nisbets UK Affiliate Program,Physical Product,Up to 6% Per Sale,10 Days,https://ui.awin.com/merchant-profile/1292?pid=51861&awc=4032_1657642009_e08ca67b3ebbe96943b2ffb641ed4ddb&utm_source=getlasso,"Nisbets has been providing catering equipment & supplies with over 25k products, anything you need or want for a kitchen.","Cooking, Home Decor"
VonHaus Affiliate Program,Physical Product,Unknown,30 Days,https://ui.awin.com/merchant-profile/16243?pid=51861&awc=4032_1657642774_7bc58fdb319fcd47d5bfe0c8ce8afc42&utm_source=getlasso,"VonHaus offer a product range that spans DIY, furniture, home entertainment accessories, storage, heating, garden furniture, and more.","Cleaning, Cooking, Gardening, Home Decor"
Hersey & Son London Silversmiths UK Affiliate Program,Physical Product,8% Per Sale,30 Days,https://ui.awin.com/merchant-profile/16218?pid=51861&awc=4032_1657643460_2481de9925b7fdbd21a651010d3931bc&utm_source=getlasso,"Hersey & Son London Silversmiths UK manufactures high-quality silverware, silver jewelry, and gifts since 1955.","Gift, Jewelry"
Katharine Hamnett Affiliate Program,Physical Product,Unknown,30 Days,https://katharinehamnett.com/gbp/affiliate-program,"Katharine Hamnett is a clothing brand that manufactures and supplies sweatshirts, t-shirts, and hoodies for men and women.",T-Shirt
ARgENTUM apothecary Affiliate Program,Physical Product,6% Per Sale,30 Days,https://argentumapothecary.com/pages/affiliates,ARgENTUM apothecary is award-winning skincare utilizing the inherent strength of Silver Hydrosol & DNA HP to create unique and powerful skincare.,"Beauty, Skin Care"
DirectCBD Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.nu-x.com/pages/nu-x-affilate-program,DirectCBD provides high-quality products for responsible adult consumers that set the standard for purity and consistency.,"CBD, Health and Wellness"
Julep Affiliate Program,Physical Product,3% - 10% Per Sale,30 Days,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=D8yOI6BioQZePr1oOSeTUAhA&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=39VnrUYsYvuNI_JkLUgeceDk&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=BKpnO3kjw00qeWIfBglj0Bqgv0HPf2D6kxQj4PHoP60&scope=openid&utm_source=getlasso,"Julep touts itself as being made up of creators of innovative makeup, skincare, nail polish, and sets. They are vegan-friendly.","Beauty, Makeup, Skin Care, Vegan"
Outdoor Cooking Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.campchef.com/affiliate-program.html,"Outdoor Cooking specializes in outdoor cookware, selling cast iron skillets, griddles, cooking irons, and much more.","Cooking, Gardening"
RAJA UK Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/3837?pid=51861&awc=4032_1657649274_edd2274eadac9054ce19d5608a871841&utm_source=getlasso,"RAJA UK is recognized as the workplace and packaging business partner, supplying businesses & retailers with quality packaging products.","Business, Ecommerce"
Knowfashionstyle Affiliate Program,Physical Product,Up to 16% Commission on Every Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93790&utm_source=getlasso,"Knowfashionstyle is a wholesale clothing online store, providing fashion trendy high cost-effective clothing.",Fashion
Majestic Pet Products Affiliate Program,Physical Product,Up to 16% Commission on Every Sale,7 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92947&utm_source=getlasso,"Majestic Pet Products is a leading pet products manufacturer in the USA, selling a variety of custom pet beds, gates, cat trees, crates, and more.","Cat, Dog, Pet"
TreeGivers Affiliate Program,Digital Service,20% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=92277&utm_source=getlasso,"TreeGivers has planted trees in honor & memory in every US & Canadian Province, offering personalized seasonal packages for the gift-giving holidays.",Gift
TAMGA Designs Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=90153&utm_source=getlasso,"TAMGA Designs uses the world's most sustainable materials to create colourful, bohemian women's fashion for the modern wanderer.",Fashion
Circus by Sam Edelman Affiliate Program,Physical Product,5% - 7% Per Sale,7 Days,https://id.pepperjam.com/login?state=80cb9013fc1f3b8030af0e9004fba22f&scope=email+openid&response_type=code&approval_prompt=auto&redirect_uri=https%3A%2F%2Fwww.ascendpartner.com%2Fauthentication%2Foauth&client_id=2ggp1nf36sk58752q5qlue4jnn&utm_source=getlasso,"Circus by Sam Edelman is a trendsetting women's shoe brand known for breaking the rules of fashion with a playful, yet edgy style.","Fashion, Shoes"
Scandinavian Designs Affiliate Program,Physical Product,3.50% Per Sale,90 Days,https://scandis.refersion.com/,Scandinavian Designs is a home furnishings destination rooted in our love for modern design and quality craftsmanship.,Home Decor
DiscountMugs Affiliate Program,Physical Product,4% - 8% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/DiscountMugs.brand?execution=e1s1&utm_source=getlasso,"DiscountMugs is a leader in the promotional products industry, hoping to make the customization process for their customers as easy as possible.","All-Around, Ecommerce"
WriterAccess Affiliate Program,Physical Product,$50 Per Sale,60 Days,https://app.impact.com/campaign-promo-signup/WriterAccess-Growth.brand?execution=e2s1&utm_source=getlasso,WriterAccess makes it simple to connect with expert writers and content creators to boost your brand’s online presence and drive sales,Writing
MotiveCBD Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105150&utm_source=getlasso,"Motive CBD is a premium manufacturer of seed-to-sale, high-quality CBD products grown and produced in Ohio","CBD, Health and Wellness, Pet, Supplements"
JPHOODIES Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=94058&utm_source=getlasso,"JPHOODIES offers a wide range of designed hoodies, t-shirts, shorts, and more in every possible design of comic, cartoon, movie, or anime characters.",T-Shirt
Swanky Badger Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=93886&utm_source=getlasso,"Swanky Badger provides sentimental Gifts for Men, for occasions such as holidays, birthdays, and anniversaries.",Gift
HealthSmart Botanicals Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93599&utm_source=getlasso,"HealthSmart Botanicals offers all-natural, and triple lab-tested broad-spectrum CBD oil, CBD gummies, CBD tinctures, and more.","CBD, Health and Wellness"
Kindred Bravely Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=86157&utm_source=getlasso,"Kindred Bravely offers a collection of comfortable, stylish, and useful clothing that is designed for moms by moms.","Baby Products, Pregnancy, Sleep"
HeimVision Affiliate Program,Physical Product,10% Per Sale,Unknown,https://heimvision.goaffpro.com/,HeimVision provides smart home products ranging from security camera systems to alarm clocks at accessible price points.,"Electronics, Home Security"
X-sense Affiliate Program,Physical Product,9% - 30% Recurring Commissions,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92292&utm_source=getlasso,"X-Sense has earned the trust as a leading global brand for smoke, CO and fire alarms, improving the safety of families all around the world.","Electronics, High-Paying, Home Security, Recurring"
Perdue Farms Preferred Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=91091&utm_source=getlasso,"Perdue Farms Preferred offers a full line of your favorite Perdue Farms premium and natural chicken, beef, pork and lamb.",Food
Lumin Affiliate Program,Physical Product,5% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/LUMIN.brand?execution=e1s1&utm_source=getlasso,"Lumin simplifies the daily routines for guys to combat dark eye circles, acne scarring, dry skin and more that is tailored to your skin type.","Beauty, Skin Care"
Opulent Organics CBD Preferred Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=94091&utm_source=getlasso,"Opulent Organics CBD Preferred offers a superior CBD experience built around holistic health, transparency, and scientific research.","CBD, Health and Wellness, Supplements"
Easyship Affiliate Program,Digital Service,"$29 for Every Paid Subscriber, Plus 2.5% of the Customer's Shipping Costs",30 Days,https://app.impact.com/campaign-promo-signup/Easyship-Affiliate-Program.brand?execution=e2s1&utm_source=getlasso,"Easyship is the leading global shipping platform for crowdfunding and eCommerce, powering makers worldwide.","Ecommerce, Freight"
Whistle Affiliate Program,Physical Product,6% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Whistle.brand?execution=e1s1&utm_source=getlasso,"GPS trackers for dogs aren’t exactly new. But Whistle takes things to the next level by not only allowing you to track your furry friend’s location but also monitor their health, right down to their sleeping pattern.","Cat, Dog, Pet"
Zadig & Voltaire (UK) Affiliate Program,Physical Product,4% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=KudKNylmM096JiZlm9quUMXc&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=hmBUVwr3x4GCSsmSqXKyojeP&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=mVZ-DE1JYiK_U-N5Pn5vXXWZoWWfrLD0ew9wMcQzXLs&scope=openid&utm_source=getlasso,"Zadig & Voltaire (UK) offers the ready-to-wear collection, their leather goods line and their iconic cashmere knits.",Fashion
Penhaligon’s (US) Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=59575&utm_source=getlasso,"Penhaligon's (US) is a British perfumery, offering a line of bath and body care products and luxury shaving and grooming accessories.","Fragrance, Gift, Shaving"
Fresh UK Affiliate Program,Physical Product,7% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=1dnBqzQuvMQvdT8aaO7ITBSQ&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=jkjOAdHRLJhLydkHuC5ktC1j&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=ugckSWyFI7Bd8kWf3CNJp6bS28R7We8khV7Fc4lUQ00&scope=openid&utm_source=getlasso,"Fresh is a beauty store showcasing a wide-range and of well-curated beauty products from skincare, fragrance, nail care, and hair care.","Beauty, Fragrance, Hygiene, Makeup, Skin Care"
MCM UK Affiliate Program,Physical Product,5% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=1dnBqzQuvMQvdT8aaO7ITBSQ&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=jkjOAdHRLJhLydkHuC5ktC1j&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=ugckSWyFI7Bd8kWf3CNJp6bS28R7We8khV7Fc4lUQ00&scope=openid&utm_source=getlasso,"MCM's offers designer backpacks, luxury bags, belts and more, including styles crafted in signature Visetos.","Fashion, Luggage"
VitaliZEN Affiliate Program,Physical Product,10% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93798&utm_source=getlasso,"VitaliZEN is a top-rated innovative health company for men and women who want to resolve pain, sleep better, and much more.",Health and Wellness
Enjoythewood Affiliate Program,Physical Product,Up to 25% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=93255&utm_source=getlasso,Enjoy The Wood is a Ukrainian family brand that offers 3D Wooden World Map made of high-quality birch plywood with flawless engravings.,"High-Paying, Home Decor"
Heidi Klein Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.heidiklein.com/affiliates,"Heidi Klein is the UK’s leading luxury beachwear brand, offering beautiful collection of impeccably cut designer beachwear and swimwear.",Fashion
Stella McCartney Global Affiliate Program,Physical Product,8% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=eEL1nM389oaW3s_RhDCUAzZA&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=DjhlBORyRR39nBiNFua8cVb6&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=5TNMxq7W2l1W8S7zvNANhnuBwp7fIXzy3L5THir7DWI&scope=openid&utm_source=getlasso,Stella McCartney is a designer clothing brand that offers a collection of sustainable and stylish new upgrades to your wardrobe.,"Fashion, Luggage, Shoes"
Bonsoir of London Affiliate Program,Physical Product,7% Per Sale,30 Days,https://bonsoiroflondon.com/pages/bonsoir-of-london-affiliate-program,"Bonsoir of London is a producer and retailer of men's and women’s nightwear and loungewear; combining outstanding quality, craftsmanship, and style.",Sleep
Global Integrated Energy Affiliate Program,Digital Service,30% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=85946&utm_source=getlasso,"Global Health Action (GHA) engages communities around the world to improve the health and well-being of women, children, and adolescents.","Health and Wellness, High-Paying"
Fortune & Frame Affiliate Program,Physical Product,7% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92927&utm_source=getlasso,"Fortune & Frame offers jewelry and accessories that let you wear your fortunes, meaningful mantras, and love notes-to-self.",Jewelry
Feather Home Affiliate Program,Physical Product,10% Per Sale,90 Days,https://app.impact.com/campaign-promo-signup/Feather-Home-Inc.brand?execution=e1s1&utm_source=getlasso,"Feather Home offers furniture rental and retailer to enhance your office, home, and all the spaces in between.",Home Decor
AI Image Enlarger Affiliate Program,Digital Service,25% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92386&utm_source=getlasso,"AI Image Enlarger is an AI technology startup, offering the best Image/Photo enlarger tools available on Windows, macOS, Android, iOS and Online.","Electronics, High-Paying, Photography"
Victorinox UK Affiliate Program,Physical Product,6% - 12% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=jBiLKSFCDuXzHIL9kB9t6AXT&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=sKIRQU4mp-i-SsPUoXvtvmYL&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=wAC5s1DZ_ua8cjDaFg89IMD3H0znwXdThU9v369F2UU&scope=openid&utm_source=getlasso,Victorinox UK produces and sells unique and high-quality products worldwide which are of practical use for everyday's adventures.,"Fragrance, Hunting, Luggage, Survival, Watch"
VVFLY Electronics Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=93726&utm_source=getlasso,Snore Circle™ focuses on the development and sales of intelligent anti-snore snoring products and OSAHS treatment products.,"Health and Wellness, Sleep"
Picky Bride Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=92589&utm_source=getlasso,Picky Bride designs and produces laser-cut wedding invitations that will definitely be a striking start to your stylish wedding.,Wedding
Prestarrs Inc Affiliate Program,Physical Product,Unknown,90 Days,https://www.prestarrs.com/help/affiliate-program-8022/,"Prestarrs Inc is your one-stop online shop for Modern, Irresistible, Trendy, and Affordable women’s clothing.","Fashion, Shoes"
italkpet.com Affiliate Program,Physical Product,10% - 16% Per Sale,7 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93757&utm_source=getlasso,"italkpet.com provides a broad range of competitively priced pet toys, products, and services such as dog training, pet grooming, pet food.","Cat, Dog, Pet"
CBII CBD Affiliate Program,Physical Product,Up to 30% Per Sale,30 Days,https://ui.awin.com/merchant-profile/18720?pid=51861&awc=4032_1657735368_a67705a0bd95a1b29d4b98f35391c45f&utm_source=getlasso,"CBII offers a comprehensive collection of full-spectrum CDB products such as CDB oil, CBD supplements, and CBD CBII skincare ranges.","CBD, Health and Wellness, Skin Care, Supplements"
Zavetti Affiliate Program,Physical Product,10% Per Sale,30 Days,https://ui.awin.com/merchant-profile/18100?pid=51861&awc=4032_1657735769_4035ea8686512801da99689b36c97053&utm_source=getlasso,"Alessandra Zavetti is an online store that features modern Men's apparel including premium tees, denim, and outerwear.",T-Shirt
Afloral Affiliate Program,Physical Product,6% Per Sale,30 Days,https://ui.awin.com/merchant-profile/18690?pid=51861&awc=4032_1657736645_0d17b2962639e206a8bc50210c68ec75&utm_source=getlasso,"Afloral offers affordable artificial handpicked florals, faux and live plants, home decor, and craft supplies.","Gift, Home Decor"
JBR Solutions Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=93373&utm_source=getlasso,JBR Solutions offers a complete assortment of products and accessories from top-rated brands that focuses on the mobile accessory market.,Electronics
Petly CBD Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93909&utm_source=getlasso,"PETLY CBD provides the best CBD oil and treats for your dog, cat, or pets made with organically grown hemp grown in Colorado.","Cat, CBD, Dog, Health and Wellness, High-Paying, Pet"
OneBone Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=84192&utm_source=getlasso,"ONE BONE is a size inclusive fashion brand with a cut that features shorter, tighter sleeves which makes the big man look, and feel strong.",T-Shirt
DHM Detox Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93685&utm_source=getlasso,"DHM Detox delivers scientifically-backed, functional, antioxidant-rich herbal supplements that help you maximize life's moments.","Health and Wellness, Supplements"
SILVER AND GOLD.COM Affiliate Program,Physical Product,7.5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92977&utm_source=getlasso,SilverAndGold™ specializes in Fine Jewelry and offers a great selection of precious and semi-precious jewelry at reasonable prices.,Jewelry
24Bottles Affiliate Program,Physical Product,8% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=1IzInirCyH3T0smwceJV9O7p&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=kY46Me7Ye7hL2D87EKdug7zU&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=t4BQWmqDAkaSZOl7g5960A_R7JmC8lmV9xqpnwnllNg&scope=openid&utm_source=getlasso,"24Bottles is a reusable non-thermal, lightweight, and made in stainless steel bottle that is available in different colors and patterns.",Drink
Tottenham Hotspur Affiliate Program,Physical Product,3% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=NbENShWPJyev3K3OSSHOg7Bp&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=D5woYAnGgWjK2XatHXiQoR2K&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=QWZi5-T8-fWKfcsqBa_tgjIMpYy25nr6mI6fCkZJA24&scope=openid&utm_source=getlasso,"Tottenham Hotspur offers the largest and latest range of exclusive Spurs merchandise, news, matches, and stadiums.",T-Shirt
Jaeger UK Affiliate Program,Physical Product,5% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=pwzt9rw4kYmy7f8oocWc09Uj&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=iWKnIv93Zvt3ztkJZ3i1dq4F&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=csdaX4bA5kVJMNHFCBUaq1_mvsKYP9yMFU6ZDiECpsc&scope=openid&utm_source=getlasso,"Jaeger UK is an iconic heritage brand creating effortless British style, crafting premium wardrobe must-haves that last a lifetime.",Fashion
Spartoo US Affiliate Program,Physical Product,6% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=pwzt9rw4kYmy7f8oocWc09Uj&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=iWKnIv93Zvt3ztkJZ3i1dq4F&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=csdaX4bA5kVJMNHFCBUaq1_mvsKYP9yMFU6ZDiECpsc&scope=openid&utm_source=getlasso,"Spartoo US offers a collection of stylish and comforatble brand name shoes with over 70,000 models from more than 1000 brands.","Fashion, Shoes"
La Senza Affiliate Program,Physical Product,4% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=gx3vdL4fpOjzbwnAGXxrmcPv&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=BkYU6b9HeAb4eGbbeBsur5X_&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=7DD7h1b2lF093Wkwp7Kbo7At-DZ_dkrZybVF6GC-ceE&scope=openid&utm_source=getlasso,"La Senza is your fashion destination for the world's sexiest bras, panties & playful lingerie at seriously hot deals.",Fashion
Oxygen Boutique Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.oxygenboutique.com/pages/affiliates,Oxygen Boutique offers labels available in-store and online that are an intriguing blend of new and up-and-coming designers who are creating a buzz.,"Fashion, Shoes"
By Terry (UK) Affiliate Program,Physical Product,10% - 20% Per Sale,30 Days,https://ui.awin.com/merchant-profile/25097,"BY TERRY is a premium French makeup and skincare brand, offering a complete range of luxury makeup, skincare & fragrances.","Beauty, Fragrance, Makeup, Skin Care"
Superfeet Affiliate Program,Physical Product,Up to 8% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92793&utm_source=getlasso,"Superfeet creates innovative products featuring the Superfeet® shape, helping people experience unparalleled comfort, pain relief, and performance.",Shoes
Lumen5 Affiliate Program,Digital Product,20% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5334062&utm_source=getlasso#/branded,Lumen5 combines powerful A.I. with a simple drag-and-drop interface to help you create professional video content in minutes.,"Software, Video"
Nanocraft CBD Affiliate Program,Physical Product,25% - 50% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93713&utm_source=getlasso,NanoCraft CBD sources Colorado hemp grown under organic practices and utilizes a clean CO2 extraction method.,"CBD, Health and Wellness, Supplements"
Renovator Store Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/renovator-store-affiliate-program/56058,"Renovator Store is the fastest growing online store dedicated to anyone renovating or building, or improving their home.","Cooking, Home Decor"
VitaDreamz Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93722&utm_source=getlasso,"VitaDreamz is an award-winning leader in high-quality, hemp-derived, CBD sleep aid products specifically designed to help people Sleep Well.","CBD, Health and Wellness, Supplements"
Kemimoto.com Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=93126&utm_source=getlasso,Kemimoto.com is the leading retailer and distributor of cutting-edge UTV and ATV parts and accessories in the U.S.,Automotive
Freedom Affiliate Program,Physical Product,21% Per Sale,1 Day,https://www.shareasale.com/shareasale.cfm?merchantID=93665&utm_source=getlasso,Freedom Deodorant offers all-natural deodorants and lip balms for men & women that will leave you smelling fresh & clean all day.,Hygiene
Orlebar Brown Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.orlebarbrown.com/affiliates.html,"Orlebar Brown offer the latest collection of stylish and vibrant resort pieces including polos, shorts and linen shirts.","Fashion, T-Shirt"
Astley Clarke Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.astleyclarke.com/affiliates,Astley Clarke is a luxury British brand celebrating design and craftsmanship from diamonds and gemstones to free personalization.,Jewelry
Alex and Alexa Affiliate Program,Physical Product,8% Per Sale,30 Days,https://partnercentric.com/client/alexandalexa-com-affiliate-program/,"Alex and Alexa is Europe's best retailer in premium and luxury children’s clothing and products, offering the world’s best brands online.","Baby Products, Fashion"
Daisy London Affiliate Program,Physical Product,Up to 15% Commission Per Sale,30 Days,https://www.daisyjewellery.com/pages/affiliates,"Daisy London is a much-loved jewelry brand known for beautiful, everyday jewelry with meaning that will elevate your everyday style.",Jewelry
Liberty London Affiliate Program,Physical Product,3% Per Sale,30 Days,https://www.libertylondon.com/uk/information/the-liberty-london-affiliate-program.html,"Liberty is the leading destination store in London, a wonderful emporium where the latest fashions sit alongside design classics.","Fashion, Jewelry"
VANTOP TECHNOLOGY CO Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=113674&utm_source=getlasso,"Kyvol manufactures innovative and friendly products including cleaning robots, at-home health tools, and smart devices.","Appliance, Cleaning"
Belstaff (US) Affiliate Program,Physical Product,3% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=AevOYJuwT1D6R1-azYLcuGde&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=fJXMaz2v-6oAWrLYDWgfHDRi&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=T-jhenHEgu6bDGDmYB2HZNTKwYkihvAl-FAc7rb2hlk&scope=openid&utm_source=getlasso,"Belstaff is a British luxury clothing brand company that offers a range of products, textiles, clothing, fur, footwear, and leather goods.",T-Shirt
Scribendi Affiliate Program,Digital Service,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=65042&utm_source=getlasso,"Scribendi provides fast, affordable, and professional editing and proofreading services to help you become a better writer, one comma at a time.",Education
Alexander McQueen Affiliate Program,Physical Product,7% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=6ztwI1GA4Eg88bdd19H2B_0-&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=P36HDHVHrPD5MhtFAUeMSPgk&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=rqtYDUJT6rhcj4IuXoQ8NcxMHzTD2iJx1iRaxMSgosw&scope=openid&utm_source=getlasso,"Alexander McQueen is a designer of innovative, uncompromising, romantic, provocative, and luxury clothing and accessories for men and women.","Fashion, Shoes"
